cid,sid,instructor,cname,department,Date,location,credit
COMS W 1004,1,"Cannon, Adam H",Introduction To Computer Science And Programming In Java,Computer Science,Spring 2022,,3
COMS W 4261,1,"Malkin, Tal G",Introduction To Cryptography,Computer Science,Spring 2022,,3
COMS W 4111,1,"Wu, Eugene",Introduction to Databases,Computer Science,Spring 2022,,3
COMS W 4111,2,"Ferguson, Donald F.",Introduction to Databases,Computer Science,Spring 2022,,3
COMS W 4111,3,"Biliris, Alexandros",Introduction to Databases,Computer Science,Spring 2022,,3
COMS W 4771,1,"Verma, Nakul",Machine Learning,Computer Science,Spring 2022,,3
COMS E 6998,10,"Kucukelbir, Alp",Machine Learning &climate,Computer Science,Spring 2022,,3
COMS W 4721,1,"Hsu, Daniel J",Machine Learning for Data Science,Computer Science,Spring 2022,,3
COMS E 4762,1,"Knowles, David",Machine Learning for Functional Genomics,Computer Science,Spring 2022,,3
CSEE E 6180,1,"Misra, Vishal",Modeling and performance evaluation,Computer Science,Spring 2022,,3
COMS W 4995,10,"Papadimitriou, Christos H",Nat Art Neural Networks L,Computer Science,Spring 2022,,3
COMS W 4995,9,"Papadimitriou, Christos H",NATUR ARTIFIC NEURAL NETWORKS,Computer Science,Spring 2022,,3
COMS W 4705,1,"Yu, Zhou",Natural Language Processing,Computer Science,Spring 2022,,3
COMS W 4705,2,"Benajiba, Yassine",Natural Language Processing,Computer Science,Spring 2022,,3
COMS W 4118,1,"Lee, Jae Woo","Operating Systems, I",Computer Science,Spring 2022,,3
COMS E 6998,9,"Dube, Parijat",Pract Deep Learning Sys P,Computer Science,Spring 2022,,3
COMS W 4115,1,"Gu, Ronghui",Programming Languages and Translators,Computer Science,Spring 2022,,3
COMS E 6998,12,"Horesh, Lior",Quantum Computing Thry Pract,Computer Science,Spring 2022,,3
COMS W 4182,1,"Bellovin, Steven M.",Security II,Computer Science,Spring 2022,,3
COMS E 6998,5,"Zemel, Richard",Self Supervised Learning,Computer Science,Spring 2022,,3
COMS W 4995,1,"Bauer, Daniel",Semantic Representations,Computer Science,Spring 2022,,3
COMS E 6998,6,"Yuen, Henry","Topics In Computer Science, I",Computer Science,Spring 2022,,3
COMS E 6156,1,"Kaiser, Gail E",Topics in Software Engineering,Computer Science,Spring 2022,,3
COMS W 4995,2,"Pe'er, Itsik G",Ubiquitous Sequencing,Computer Science,Spring 2022,,3
COMS W 4170,1,"Chilton, Lydia B",User Interface Design,Computer Science,Spring 2022,,3
COMS E 6998,2,"Chilton, Lydia B",Adv Web Design Studio,Computer Science,Fall 2021,,3
COMS W 3157,1,"Lee, Jae Woo",Advanced Programming,Computer Science,Fall 2021,,3
COMS W 4156,1,"Kaiser, Gail E",Advanced Software Engineering,Computer Science,Fall 2021,,3
COMS E 6998,15,"Alman, Josh",Algebraic Techniques In T,Computer Science,Fall 2021,,3
CSOR W 4246,1,"Drinea, Eleni",ALGORITHMS FOR DATA SCIENCE,Computer Science,Fall 2021,,3
CSOR W 4231,1,"Yannakakis, Mihalis",Analysis of Algorithms I,Computer Science,Fall 2021,,3
CSOR W 4231,2,"Andoni, Alexandr",Analysis of Algorithms I,Computer Science,Fall 2021,,3
COMS W 4167,1,"Zheng, Changxi",Animation,Computer Science,Fall 2021,,3
COMS W 4995,11,"Pappu, Vijay",Applied Machine Learning,Computer Science,Fall 2021,,3
COMS W 4701,1,"Salleb-Aouissi, Ansaf",Artificial Intelligence,Computer Science,Fall 2021,,3
COMS W 4775,1,"Bareinboim, Elias",Causal Inference,Computer Science,Fall 2021,,3
COMS W 3107,1,"Kender, John R",Clean Object-Oriented Design,Computer Science,Fall 2021,,3
COMS E 6998,13,"Sahu, Sambit",Cloud Computing & Big Dat,Computer Science,Fall 2021,,3
COMS E 6998,9,"Papadimitriou, Christos H",Computation And The Brain,Computer Science,Fall 2021,,3
COMS W 4733,1,"Dear, Tony",Computational Aspects of Robotics,Computer Science,Fall 2021,,3
COMS W 3251,1,"Dear, Tony",Computational Linear Algebra,Computer Science,Fall 2021,,3
CSEE W 4824,1,"Sethumadhavan, Simha",Computer Architecture,Computer Science,Fall 2021,,3
CSEE W 4119,3,"Misra, Vishal",Computer Networks,Computer Science,Fall 2021,,3
COMS S 3261,1,"Chen, Xi",Computer Science Theory,Computer Science,Fall 2021,,3
COMS W 3261,1,"Chen, Xi",Computer Science Theory,Computer Science,Fall 2021,,3
COMS W 4731,1,"Nayar, Shree K",Computer Vision,Computer Science,Fall 2021,,3
COMS W 3410,1,"Bellovin, Steven M.",Computers and Society,Computer Science,Fall 2021,,3
COMS W 1002,1,"Cannon, Adam H",Computing in Context,Computer Science,Fall 2021,,3
COMS W 3134,1,"Bauer, Daniel",Data Structures in Java,Computer Science,Fall 2021,,3
COMS W 4995,6,"Belhumeur, Peter N",Deep Lrng For Comp Vision,Computer Science,Fall 2021,,3
COMS W 3203,2,"Moretti, Antonio K",Discrete Mathematics: Introduction To Combinatorics and Graph Theory,Computer Science,Fall 2021,,3
COMS W 3203,1,"Liu, Yining",Discrete Mathematics: Introduction To Combinatorics and Graph Theory,Computer Science,Fall 2021,,3
COMS W 3203,3,"Rubenstein, Dan",Discrete Mathematics: Introduction To Combinatorics and Graph Theory,Computer Science,Fall 2021,,3
COMS W 4995,10,"Gibson, Bryan",Elements For Data Science,Computer Science,Fall 2021,,3
COMS E 6998,14,"Levine, Michelle F",Empirical Methods Data Sc,Computer Science,Fall 2021,,3
COMS W 4995,3,"Yang, Junfeng",Engr Software As A Servic,Computer Science,Fall 2021,,3
COMS W 3136,1,"Paine, Timothy",ESSENTIAL DATA STRUCTURES IN C/C++,Computer Science,Fall 2021,,3
CSEE E 6863,1,"Theobald, Michael",Formal Verif HW SW Systems,Computer Science,Fall 2021,,3
COMS E 6998,3,"Gu, Ronghui",Formal Verification Syste,Computer Science,Fall 2021,,3
COMS E 6998,6,"Roughgarden, Tim",Foundations Of Blockchain,Computer Science,Fall 2021,,3
COMS E 6998,11,"Beigi, Homayoon",Fund Speech Recognition,Computer Science,Fall 2021,,3
CSEE W 3827,1,"Kim, Martha A",Fundamentals of Computer Systems,Computer Science,Fall 2021,,3
COMS W 4995,1,"Blaer, Paul S",Hacking 4 Defense,Computer Science,Fall 2021,,3
COMS w 4419,1,"Schulzrinne, Henning G","INTERNET TECHNOLOGY,ECONOMICS,AND POLICY",Computer Science,Fall 2021,,3
ENGI E 1006,1,"Bauer, Daniel",Intro To Comp For Eng/app,Computer Science,Fall 2021,,3
COMS W 4995,4,"Chaintreau, Augustin",Intro To Networks And Cro,Computer Science,Fall 2021,,3
COMS W 4252,1,"Servedio, Rocco A.",Introduction to Computational Learning Theory,Computer Science,Fall 2021,,3
COMS W 1004,1,"Blaer, Paul S",Introduction To Computer Science And Programming In Java,Computer Science,Fall 2021,,3
COMS W 4111,1,"Gravano, Luis",Introduction to Databases,Computer Science,Fall 2021,,3
COMS W 4111,2,"Ferguson, Donald F.",Introduction to Databases,Computer Science,Fall 2021,,3
COMS W 4111,3,"Biliris, Alexandros",Introduction to Databases,Computer Science,Fall 2021,,3
COMS W 1001,1,"Cannon, Adam H",Introduction to Information Science,Computer Science,Fall 2021,,3
COMS W 4995,5,"Pitassi, Toniann",Logic And Computability,Computer Science,Fall 2021,,3
COMS W 4771,1,"Verma, Nakul",Machine Learning,Computer Science,Fall 2021,,3
COMS W 4771,2,"Hsu, Daniel J",Machine Learning,Computer Science,Fall 2021,,3
COMS W 4186,1,"Sikorski, Michael",MALWARE ANALYSIS&REVERSE ENGINEERING,Computer Science,Fall 2021,,3
COMS W 4705,1,"McKeown, Kathleen",Natural Language Processing,Computer Science,Fall 2021,,3
COMS W 4705,2,"Benajiba, Yassine",Natural Language Processing,Computer Science,Fall 2021,,3
COMS W 4995,7,"Zemel, Richard",Neural Networks Deep Lear,Computer Science,Fall 2021,,3
COMS W 4118,1,"Lee, Jae Woo","Operating Systems, I",Computer Science,Fall 2021,,3
COMS W 4995,2,"Edwards, Stephen A.",Parallel Functional Progr,Computer Science,Fall 2021,,3
COMS E 6998,12,"Dube, Parijat",Pract Deep Learning Sys P,Computer Science,Fall 2021,,3
COMS W 4460,1,"Reinisch, William",Principles of Innovation and Entrepreneurship (co-instructor: William Reinisch),Computer Science,Fall 2021,,3
COMS W 4444,1,"Ross, Kenneth A",Programming and Problem Solving,Computer Science,Fall 2021,,3
COMS W 4115,1,"Ray, Baishakhi",Programming Languages and Translators,Computer Science,Fall 2021,,3
COMS W 4115,2,"Edwards, Stephen A.",Programming Languages and Translators,Computer Science,Fall 2021,,3
COMS E 6998,1,"Vondrick, Carl",Representation Learning,Computer Science,Fall 2021,,3
COMS W 4181,1,"Jana, Suman",Security I,Computer Science,Fall 2021,,3
COMS E 6998,7,"Yang, Junfeng",Security Robustness Ml Sy,Computer Science,Fall 2021,,3
COMS E 6998,10,"Wu, Eugene",Sys For Human Data Intera,Computer Science,Fall 2021,,3
CSEE W 4868,1,"Carloni, Luca",System-on-Chip Platforms,Computer Science,Fall 2021,,3
COMS E 6998,5,"Song, Shuran",Topics In Robotic Learnin,Computer Science,Fall 2021,,3
COMS E 6156,1,"Ferguson, Donald F.",Topics in Software Engineering,Computer Science,Fall 2021,,3
COMS W 4774,1,"Verma, Nakul",Unsupervised Learning,Computer Science,Fall 2021,,3
COMS W 4170,1,"Smith, Brian A",User Interface Design,Computer Science,Fall 2021,,3
COMS E 6998,4,"Feiner, Steven K",Virtual And Augmented Rea,Computer Science,Fall 2021,,3
BMEN E3020,1,"Elizabeth Hillman,Clark T Hung,Nandan L Nerurkar",BIOMEDICAL ENGINEERING II,Biomedical Engineering,Spring 2022,633 Seeley W. Mudd Building,3
BMEN E3820,1,"Aaron M Kyle,Clark T Hung,Barclay Morrison,Elisa Konofagou",BIOMEDICAL ENGINEERING LAB II,Biomedical Engineering,Spring 2022,382 Engineering Terrace,3
BMEN E3920,1,Qi Wang,BIOMEDICAL ENGIN DESIGN II,Biomedical Engineering,Spring 2022,750 Schapiro [SCEP],3
BMEN E3998,2,Tal Danino,PROJECTS IN BIOMEDICAL ENGIN,Biomedical Engineering,Spring 2022,,3
BMEN E3999,1,Lance Kam,UNDERGRADUATE FIELDWORK,Biomedical Engineering,Spring 2022,,3
BMEN E4000,1,John T Vaughan,SPECIAL TOPICS IN BIOMEDICAL,Biomedical Engineering,Spring 2022,343 Seeley W. Mudd Building,3
BMEN E4000,2,"Gordana Vunjak-Novakovic,Clark T Hung",SPECIAL TOPICS IN BIOMEDICAL,Biomedical Engineering,Spring 2022,140 Uris Hall,3
BMEN E4002,1,Barclay Morrison,QUANT PHYSIOLOGY II:ORGAN SYST,Biomedical Engineering,Spring 2022,833 Seeley W. Mudd Building,3
BMEN E4210,1,Samuel Sia,DRIVING FORCES OF BIOLOGICAL SYSTEMS,Biomedical Engineering,Spring 2022,627 Seeley W. Mudd Building,3
BMEN E4310,1,X. Edward Guo,SOLID BIOMECHANICS,Biomedical Engineering,Spring 2022,524 Seeley W. Mudd Building,3
BMEN E4410,1,Elisa Konofagou,PRIN OF ULTRASOUND IN MEDICINE,Biomedical Engineering,Spring 2022,420 Pupin Laboratories,3
BMEN E4420,1,Paul Sajda,SIGNAL MODELING,Biomedical Engineering,Spring 2022,410 International Affairs: Building,3
BMEN E4460,1,Jia Guo,DEEP LEARNING IN BIOMEDICAL IMAGING,Biomedical Engineering,Spring 2022,633 Seeley W. Mudd Building,3
